monitor_id,product_id,screen_size,resolution,refresh_rate,response_time_(g2g),panel_type,aspect_ratio
325155,128703,27.0  in,2560 x 1440,144 Hz,,VA,16:09
325156,128704,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325157,128705,27.0  in,1920 x 1080,144 Hz,2 ms,TN,16:09
325158,128706,22.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325159,128707,18.5  in,1366 x 768,60 Hz,5 ms,,16:09
325160,128708,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325161,128709,27.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325162,128710,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325163,128711,23.8  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325164,128712,27.0  in,2560 x 1440,165 Hz,4 ms,IPS,16:09
325165,128713,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325166,128714,34.0  in,3440 x 1440,144 Hz,1 ms,VA,21:09
325167,128715,21.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325168,128716,27.0  in,2560 x 1440,165 Hz,4 ms,IPS,16:09
325169,128717,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325170,128718,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325171,128719,32.0  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325172,128720,27.0  in,1920 x 1080,165 Hz,1 ms,VA,16:09
325173,128721,24.0  in,1920 x 1080,144 Hz,,IPS,16:09
325174,128722,25.0  in,2560 x 1080,60 Hz,5 ms,IPS,21:09
325175,128723,23.6  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325176,128724,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325177,128725,34.1  in,3440 x 1440,120 Hz,2 ms,IPS,21:09
325178,128726,23.8  in,1920 x 1080,144 Hz,,IPS,16:09
325179,128727,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325180,128728,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325181,128729,23.6  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325182,128730,21.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325183,128731,30.0  in,2560 x 1080,200 Hz,5 ms,VA,21:09
325184,128732,34.0  in,3440 x 1440,120 Hz,4 ms,IPS,21:09
325185,128733,27.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325186,128734,24.0  in,1920 x 1080,180 Hz,1 ms,TN,16:09
325187,128735,34.0  in,3440 x 1440,100 Hz,5 ms,IPS,21:09
325188,128736,37.5  in,3840 x 1600,175 Hz,,IPS,12:05
325189,128737,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325190,128738,27.0  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325191,128739,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325192,128740,24.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325193,128741,27.0  in,1920 x 1080,144 Hz,3 ms,IPS,16:09
325194,128742,26.9  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325195,128743,21.5  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325196,128744,27.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325197,128745,27.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325198,128746,34.0  in,2560 x 1080,144 Hz,5 ms,IPS,21:09
325199,128747,23.8  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325200,128748,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325201,128749,27.0  in,1920 x 1080,144 Hz,1 ms,IPS,16:09
325202,128750,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325203,128751,27.0  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325204,128752,27.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325205,128753,24.0  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325206,128754,24.0  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325207,128755,27.0  in,3840 x 2160,144 Hz,4 ms,IPS,16:09
325208,128756,23.8  in,1920 x 1080,75 Hz,1 ms,IPS,16:09
325209,128757,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325210,128758,23.6  in,1920 x 1080,144 Hz,5 ms,TN,16:09
325211,128759,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325212,128760,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325213,128761,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325214,128762,21.5  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325215,128763,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325216,128764,34.0  in,3440 x 1440,120 Hz,1 ms,IPS,21:09
325217,128765,23.8  in,1920 x 1080,144 Hz,,IPS,16:09
325218,128766,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325219,128767,32.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325220,128768,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325221,128769,24.0  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325222,128770,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325223,128771,23.6  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325224,128772,27.0  in,1920 x 1080,240 Hz,4 ms,VA,16:09
325225,128773,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325226,128774,27.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325227,128775,27.0  in,1920 x 1080,165 Hz,0.5 ms,TN,16:09
325228,128776,29.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325229,128777,49.0  in,3840 x 1080,144 Hz,4 ms,VA,32:09:00
325230,128778,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325231,128779,21.6  in,3840 x 2160,60 Hz,1 ms,OLED,16:09
325232,128780,34.0  in,3440 x 1440,120 Hz,,IPS,21:09
325233,128781,27.0  in,2560 x 1440,75 Hz,4 ms,IPS,16:09
325234,128782,27.0  in,2560 x 1440,144 Hz,1 ms,IPS,16:09
325235,128783,27.0  in,2560 x 1440,144 Hz,3 ms,IPS,16:09
325236,128784,34.0  in,3440 x 1440,100 Hz,8 ms,VA,21:09
325237,128785,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325238,128786,32.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325239,128787,24.5  in,1920 x 1080,165 Hz,0.5 ms,TN,16:09
325240,128788,31.5  in,2560 x 1440,75 Hz,4 ms,IPS,16:09
325241,128789,23.6  in,1920 x 1080,75 Hz,5 ms,VA,16:09
325242,128790,24.0  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325243,128791,27.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325244,128792,27.0  in,3840 x 2160,144 Hz,4 ms,IPS,16:09
325245,128793,35.0  in,3440 x 1440,200 Hz,2 ms,VA,21:09
325246,128794,21.5  in,1920 x 1080,,5 ms,,16:09
325247,128795,27.0  in,2560 x 1440,165 Hz,,VA,16:09
325248,128796,27.0  in,1920 x 1080,165 Hz,,VA,16:09
325249,128797,24.5  in,1920 x 1080,144 Hz,,IPS,16:09
325250,128798,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325251,128799,32.0  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325252,128800,24.0  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325253,128801,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325254,128802,27.0  in,1920 x 1080,75 Hz,6 ms,IPS,16:09
325255,128803,43.0  in,3840 x 2160,120 Hz,4 ms,VA,16:09
325256,128804,27.0  in,1920 x 1080,144 Hz,,IPS,16:09
325257,128805,23.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325258,128806,31.5  in,2560 x 1440,165 Hz,4 ms,VA,16:09
325259,128807,23.8  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325260,128808,23.8  in,1920 x 1080,60 Hz,4 ms,IPS,16:09
325261,128809,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325262,128810,19.5  in,1600 x 900,75 Hz,5 ms,,16:09
325263,128811,21.5  in,1920 x 1080,,6 ms,TN,16:09
325264,128812,24.5  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325265,128813,31.5  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325266,128814,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325267,128815,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325268,128816,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325269,128817,23.8  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325270,128818,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325271,128819,31.5  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325272,128820,23.8  in,1920 x 1080,75 Hz,3.5 ms,VA,16:09
325273,128821,27.0  in,1920 x 1080,165 Hz,1 ms,VA,16:09
325274,128822,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325275,128823,34.0  in,5120 x 2160,60 Hz,5 ms,IPS,64:27:00
325276,128824,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325277,128825,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325278,128826,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325279,128827,23.8  in,1920 x 1080,75 Hz,14 ms,TN,16:09
325280,128828,23.6  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325281,128829,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325282,128830,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325283,128831,34.0  in,2560 x 1080,75 Hz,1 ms,IPS,21:09
325284,128832,20.0  in,1600 x 900,60 Hz,5 ms,,16:09
325285,128833,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325286,128834,27.0  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325287,128835,23.8  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325288,128836,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325289,128837,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325290,128838,34.0  in,5120 x 2160,60 Hz,5 ms,IPS,64:27:00
325291,128839,23.6  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325292,128840,27.0  in,2560 x 1440,75 Hz,1 ms,TN,16:09
325293,128841,27.0  in,2560 x 1440,165 Hz,,IPS,16:09
325294,128842,24.0  in,1920 x 1080,180 Hz,1 ms,TN,16:09
325295,128843,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325296,128844,21.5  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325297,128845,24.5  in,1920 x 1080,240 Hz,,TN,16:09
325298,128846,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325299,128847,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325300,128848,18.5  in,1366 x 768,60 Hz,5 ms,TN,16:09
325301,128849,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325302,128850,32.0  in,3840 x 2160,60 Hz,5 ms,VA,16:09
325303,128851,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325304,128852,27.0  in,2560 x 1440,144 Hz,,IPS,16:09
325305,128853,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325306,128854,24.5  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325307,128855,23.5  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325308,128856,24.0  in,1920 x 1080,60 Hz,5 ms,,16:09
325309,128857,31.5  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325310,128858,34.0  in,3440 x 1440,100 Hz,4 ms,IPS,21:09
325311,128859,18.5  in,1366 x 768,60 Hz,5 ms,TN,16:09
325312,128860,31.5  in,2560 x 1440,75 Hz,4 ms,IPS,16:09
325313,128861,23.5  in,1920 x 1080,240 Hz,1 ms,,16:09
325314,128862,27.0  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325315,128863,32.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325316,128864,31.5  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325317,128865,24.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325318,128866,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325319,128867,27.0  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325320,128868,21.5  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325321,128869,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325322,128870,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325323,128871,23.6  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325324,128872,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325325,128873,32.0  in,2560 x 1440,165 Hz,5 ms,VA,16:09
325326,128874,24.0  in,1920 x 1080,144 Hz,1 ms,,16:09
325327,128875,23.8  in,2560 x 1440,75 Hz,5 ms,IPS,16:09
325328,128876,32.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325329,128877,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325330,128878,27.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325331,128879,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325332,128880,27.0  in,2560 x 1440,144 Hz,4 ms,IPS,16:09
325333,128881,23.6  in,1920 x 1080,75 Hz,5 ms,VA,16:09
325334,128882,34.0  in,2560 x 1080,166 Hz,5 ms,IPS,21:09
325335,128883,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325336,128884,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325337,128885,27.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325338,128886,24.0  in,1920 x 1080,165 Hz,1 ms,TN,16:09
325339,128887,27.0  in,2560 x 1440,144 Hz,4 ms,IPS,16:09
325340,128888,27.0  in,2560 x 1440,144 Hz,1 ms,TN,16:09
325341,128889,21.5  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325342,128890,27.0  in,2560 x 1440,144 Hz,5 ms,IPS,16:09
325343,128891,49.0  in,5120 x 1440,60 Hz,5 ms,IPS,32:09:00
325344,128892,27.0  in,2560 x 1440,75 Hz,5 ms,IPS,16:09
325345,128893,32.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325346,128894,27.0  in,1920 x 1080,165 Hz,,VA,16:09
325347,128895,23.8  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325348,128896,24.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325349,128897,35.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325350,128898,32.0  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325351,128899,35.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325352,128900,22.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325353,128901,35.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325354,128902,19.0  in,1440 x 900,,5 ms,,16:10
325355,128903,21.5  in,1920 x 1080,75 Hz,5 ms,IPS,16:09
325356,128904,42.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325357,128905,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325358,128906,27.0  in,2560 x 1440,60 Hz,6 ms,IPS,16:09
325359,128907,55.0  in,3840 x 2160,120 Hz,0.5 ms,OLED,16:09
325360,128908,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325361,128909,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325362,128910,32.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325363,128911,27.0  in,1920 x 1080,144 Hz,1 ms,VA,16:09
325364,128912,27.0  in,1920 x 1080,144 Hz,5 ms,VA,16:09
325365,128913,35.0  in,3440 x 1440,120 Hz,4 ms,VA,21:09
325366,128914,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325367,128915,24.1  in,1920 x 1200,60 Hz,6 ms,IPS,16:10
325368,128916,23.6  in,1920 x 1080,75 Hz,1 ms,VA,16:09
325369,128917,23.8  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325370,128918,27.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325371,128919,27.0  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325372,128920,35.0  in,2560 x 1080,200 Hz,4 ms,VA,21:09
325373,128921,23.6  in,1920 x 1080,,2 ms,,16:09
325374,128922,32.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325375,128923,27.0  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325376,128924,27.0  in,1920 x 1080,75 Hz,8 ms,VA,16:09
325377,128925,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325378,128926,27.0  in,2560 x 1440,75 Hz,1 ms,IPS,16:09
325379,128927,27.0  in,1920 x 1080,144 Hz,1 ms,IPS,16:09
325380,128928,27.0  in,2560 x 1440,165 Hz,4 ms,IPS,16:09
325381,128929,21.5  in,1920 x 1080,60 Hz,12 ms,IPS,16:09
325382,128930,34.0  in,3440 x 1440,120 Hz,4 ms,IPS,21:09
325383,128931,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325384,128932,19.5  in,1600 x 900,75 Hz,3.5 ms,TN,16:09
325385,128933,34.1  in,2560 x 1080,120 Hz,4 ms,IPS,21:09
325386,128934,31.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325387,128935,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325388,128936,19.5  in,1600 x 900,60 Hz,5 ms,TN,16:09
325389,128937,31.5  in,2560 x 1440,144 Hz,4 ms,VA,16:09
325390,128938,34.1  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325391,128939,25.0  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325392,128940,21.5  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325393,128941,27.0  in,2560 x 1440,75 Hz,1 ms,TN,16:09
325394,128942,24.0  in,1920 x 1080,75 Hz,5 ms,VA,16:09
325395,128943,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325396,128944,31.5  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325397,128945,23.8  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325398,128946,38.0  in,3840 x 1600,60 Hz,5 ms,IPS,12:05
325399,128947,32.0  in,3840 x 2160,60 Hz,4 ms,VA,16:09
325400,128948,29.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325401,128949,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325402,128950,24.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325403,128951,23.5  in,1920 x 1080,144 Hz,4 ms,VA,16:09
325404,128952,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325405,128953,25.0  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325406,128954,24.5  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325407,128955,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325408,128956,21.5  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325409,128957,27.0  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325410,128958,49.0  in,5120 x 1440,60 Hz,5 ms,IPS,32:09:00
325411,128959,27.0  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325412,128960,24.5  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325413,128961,34.0  in,3440 x 1440,100 Hz,4 ms,VA,21:09
325414,128962,27.0  in,2560 x 1440,165 Hz,1 ms,IPS,16:09
325415,128963,21.5  in,1920 x 1080,60 Hz,2 ms,,16:09
325416,128964,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325417,128965,34.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325418,128966,43.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325419,128967,27.0  in,1920 x 1080,240 Hz,1 ms,IPS,16:09
325420,128968,31.5  in,3840 x 2160,60 Hz,,VA,16:09
325421,128969,31.5  in,2560 x 1440,144 Hz,1 ms,VA,16:09
325422,128970,27.0  in,1920 x 1080,60 Hz,5 ms,,16:09
325423,128971,31.5  in,2560 x 1440,165 Hz,5 ms,VA,16:09
325424,128972,23.5  in,1920 x 1080,60 Hz,4 ms,PLS,16:09
325425,128973,34.0  in,3440 x 1440,60 Hz,5 ms,IPS,21:09
325426,128974,23.6  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325427,128975,27.0  in,2560 x 1440,60 Hz,6 ms,IPS,16:09
325428,128976,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325429,128977,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325430,128978,24.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325431,128979,27.0  in,2560 x 1440,60 Hz,4 ms,IPS,16:09
325432,128980,27.0  in,1920 x 1080,75 Hz,2 ms,TN,16:09
325433,128981,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325434,128982,24.0  in,1920 x 1080,60 Hz,5 ms,TN,16:09
325435,128983,25.0  in,2560 x 1080,75 Hz,5 ms,IPS,21:09
325436,128984,24.0  in,1920 x 1080,60 Hz,1 ms,TN,16:09
325437,128985,24.5  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325438,128986,23.6  in,1920 x 1080,144 Hz,3 ms,VA,16:09
325439,128987,24.0  in,1920 x 1080,144 Hz,1 ms,TN,16:09
325440,128988,27.0  in,2560 x 1440,165 Hz,1 ms,TN,16:09
325441,128989,21.5  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325442,128990,23.8  in,1920 x 1080,60 Hz,8 ms,IPS,16:09
325443,128991,24.0  in,1920 x 1200,60 Hz,8 ms,IPS,16:10
325444,128992,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325445,128993,24.0  in,1920 x 1080,60 Hz,6 ms,IPS,16:09
325446,128994,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325447,128995,27.0  in,2560 x 1440,85 Hz,6 ms,IPS,16:09
325448,128996,31.5  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325449,128997,27.0  in,1920 x 1080,60 Hz,5 ms,IPS,16:09
325450,128998,27.0  in,1920 x 1080,60 Hz,7 ms,IPS,16:09
325451,128999,23.8  in,2560 x 1440,60 Hz,5 ms,IPS,16:09
325452,129000,31.5  in,2560 x 1440,144 Hz,5 ms,VA,16:09
325453,129001,27.0  in,2560 x 1440,60 Hz,14 ms,IPS,16:09
325454,129002,27.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325455,129003,23.0  in,1920 x 1080,,5 ms,IPS,16:09
325456,129004,28.0  in,3840 x 2160,60 Hz,1 ms,TN,16:09
325457,129005,21.5  in,1920 x 1080,60 Hz,2 ms,TN,16:09
325458,129006,27.0  in,1920 x 1080,60 Hz,4 ms,VA,16:09
325459,129007,19.5  in,1920 x 1080,60 Hz,5 ms,VA,16:09
325460,129008,27.0  in,1920 x 1080,75 Hz,1 ms,TN,16:09
325461,129009,32.0  in,3840 x 2160,60 Hz,5 ms,IPS,16:09
325462,129010,24.5  in,1920 x 1080,240 Hz,1 ms,TN,16:09
325463,129011,27.0  in,3840 x 2160,60 Hz,4 ms,IPS,16:09
325464,129012,23.8  in,2560 x 1440,75 Hz,1 ms,IPS,16:09
